idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
176,frame_000183.jpg,18,0.17226316034793854,0.036445453278325685,0.03805990517139435,0.009583966806530952,0.6829870823591763,821.4483458859324
177,frame_000184.jpg,18,0.15370841324329376,0.09438143257639937,0.0928446352481842,0.077081099152565,0.2184038980870105,1083.6548764475187
178,frame_000190.jpg,18,0.1470997929573059,0.16435082934088197,0.15993325412273407,0.13878360390663147,0.11421822614161467,1987.496330977311
179,frame_000191.jpg,18,0.15356528759002686,0.14636492463007553,0.1440097540616989,0.010037126950919628,0.6159096642818936,1728.7709157592435
180,frame_000192.jpg,18,0.14010228216648102,0.15068350617546977,0.14944177865982056,0.01629701629281044,0.5544600077306144,1784.7804207608972
181,frame_000193.jpg,18,0.12896791100502014,0.15181109174678742,0.14834725856781006,0.013706395402550697,0.6034739784331874,1473.258623983808
182,frame_000194.jpg,18,0.1331353634595871,0.1776721002042506,0.17539912462234497,0.017653323709964752,0.5856363765530753,1723.9371299743652
183,frame_000195.jpg,18,0.13937611877918243,0.14614366402747367,0.14785639941692352,0.015158935450017452,0.513038530393918,1517.1440033606384
184,frame_000196.jpg,18,0.13282456994056702,0.1417515383420389,0.13942976295948029,0.00941394828259945,0.6426558267684233,2224.8772309251635
185,frame_000197.jpg,18,0.12067070603370667,0.1735202127475794,0.16961632668972015,0.01672608032822609,0.6138174468186574,2092.77488753756
186,frame_000198.jpg,18,0.13488221168518066,0.17019849839273785,0.16985441744327545,0.019122160971164703,0.5407172285133084,2485.361561568264
187,frame_000199.jpg,18,0.1350323110818863,0.14525892516666544,0.1449301838874817,0.013932658359408379,0.6176104603453832,2499.4550403517737
188,frame_000200.jpg,18,0.11985357105731964,0.14825034715260174,0.145899698138237,0.03450985997915268,0.44388426349351423,2974.983593320817
189,frame_000201.jpg,18,0.13206081092357635,0.134210284818734,0.13394795358181,0.03558434918522835,0.3611183389336907,2888.9576767676763
190,frame_000202.jpg,18,0.13080964982509613,0.13406373650532596,0.13303466141223907,0.01161406934261322,0.6774475776234887,3241.157399691358
191,frame_000203.jpg,18,0.11442357301712036,0.16877303518234965,0.16706620156764984,0.01946166716516018,0.6015233008769211,2906.97948831573
192,frame_000204.jpg,18,0.11908875405788422,0.15083462763787195,0.15110884606838226,0.02009751833975315,0.49454273369826557,1094.779554196629
193,frame_000205.jpg,18,0.1087058037519455,0.175713139379184,0.17439846694469452,0.010320411995053291,0.6487519269217127,541.7769113392959
194,frame_000206.jpg,18,0.10474090278148651,0.16610316056305893,0.16436107456684113,0.019467085599899292,0.5233466042201662,2702.09724147571
195,frame_000207.jpg,18,0.10199835151433945,0.15054938419345884,0.15006564557552338,0.025680800899863243,0.40946065080504324,1546.377416471739
196,frame_000208.jpg,18,0.10354695469141006,0.16008820957990025,0.15788470208644867,0.0110592907294631,0.6107101423469986,1132.38259150776
197,frame_000209.jpg,18,0.10131102800369263,0.15618710895997148,0.15537050366401672,0.009247452951967716,0.5926289454423618,907.3566792241947
198,frame_000210.jpg,18,0.08392170071601868,0.17021121115874335,0.16861432790756226,0.017571955919265747,0.4647199119358641,1246.680896076059
199,frame_000211.jpg,18,0.09616437554359436,0.15473183325921683,0.15229260921478271,0.031288061290979385,0.31422180427999863,1422.6200134404676
200,frame_000226.jpg,18,0.14548882842063904,0.10363860408077136,0.10069497674703598,0.11993895471096039,0.21832585371126237,351.2934499663443
201,frame_000227.jpg,18,0.1335318386554718,0.13668892670113855,0.13072337210178375,0.028953909873962402,0.36707376516103757,213.51704038684858
202,frame_000228.jpg,18,0.12389879673719406,0.14210278391690415,0.13522109389305115,0.004430515691637993,0.8047765663268271,207.94415984933664
203,frame_000229.jpg,18,0.113273486495018,0.12502380252057024,0.11902585625648499,0.015136860311031342,0.5631384102803006,691.509285326941
204,frame_000230.jpg,18,0.10180012136697769,0.1465023722408737,0.1400481015443802,0.007353696972131729,0.7382441447436763,890.112579602957
205,frame_000306.jpg,18,0.13402065634727478,0.14491512644457238,0.13443376123905182,0.12929722666740417,0.2629022642397673,237.6018821025928
206,frame_000307.jpg,18,0.13159310817718506,0.15126425514430308,0.14185430109500885,0.005966496653854847,0.7103915761707467,245.61652157354453
207,frame_000308.jpg,18,0.12949520349502563,0.13627956372987543,0.12860174477100372,0.006887257099151611,0.6552070856393628,245.35001750132776
208,frame_000309.jpg,18,0.13098818063735962,0.16272288543503022,0.15146797895431519,0.01182672567665577,0.6004669558185286,229.54846130371092
209,frame_000310.jpg,18,0.1320071667432785,0.15285081336828918,0.14422310888767242,0.011829473078250885,0.5991180976622117,255.94713508357827
210,frame_000311.jpg,18,0.13145844638347626,0.11234214813093128,0.10482460260391235,0.019419420510530472,0.4094958796584993,210.10204451981545
211,frame_000312.jpg,18,0.12423427402973175,0.1476287493042397,0.13847540318965912,0.007394319865852594,0.6435171973450134,232.81999285095173
